1337,Lanz,Johann,,1809,8,13,,NULL,bauer,Mühlbach__Schabs,Rattenberg__Oberau,gefallen
1338,Huber,Johann,,1809,8,14,,NULL,bauer,Mühlbach__Weitenthal,unknown__Aicha,gefallen
1339,Augschell,Georg,,1809,10,11,,NULL,beamter,Mühlbach__Villanders,unknown__Sachsenburg,friendlyfire
1340,Ellemunter,Johann,,1809,11,3,,NULL,arbeiter,Mühlbach__Mühlbach,unknown__Mühlbacher Klause,gefallen
1341,Obergolser,Thomas,,1809,8,13,,NULL,bauer,Mühlbach__Weitenthal,Innsbruck__Berg Isel,wunde
1342,Punter,Georg,,1809,12,9,,NULL,bauer,Mühlbach__Rodeneck,Mühlbach__Rodeneck,wunde
1343,Mayr,Johann,,1809,12,9,,NULL,bauer,Mühlbach__Rodeneck,Mühlbach__Rodeneck,erschossen
1352,Hassler,Peter,23,1809,5,25,,NULL,arbeiter,Bruneck__Stegen,Innsbruck__Berg Isel,wunde
1354,Winkler,Andreas,,1809,7,NULL,,NULL,bauer,Bruneck__Aufhofen ,unknown__Obertilliach,erschossen
1355,Aichner,Josef,,1809,8,5,,NULL,handwerker,Bruneck__Lorenzen,Rattenberg__Oberau,gefallen
1356,Mair,Josef,,1809,8,5,,NULL,handwerker,Bruneck__Pfalzen,Rattenberg__Oberau,gefallen
1357,Auer,Johann,,1809,8,5,,NULL,bauer,Bruneck__Terenten,Rattenberg__Oberau,gefallen
1358,Sartor,Franz,,1811,NULL,31,,NULL,sonst.,Bruneck__Lorenzen,unknown__Paris,gefang.
1359,Lackner,Josef,,1809,11,5,,NULL,handwerker,Bruneck__Pfalzen,Bruneck__Pfalzen,mord
1360,Schifferegger,Matthias,,1809,11,5,,NULL,arbeiter,Bruneck__Ellen,Bruneck__Kiens,erschossen
1361,Tanzer,Matthias,,1809,11,6,,NULL,bauer,Bruneck__St. Sigmund,Bruneck__St. Sigmund,erschossen
1362,Bassler,Michael,61,1809,11,14,,NULL,sonst.,Bruneck__Aufhofen ,Bruneck__Aufhofen ,mord
1363,Winkler,Michael,58,1809,11,5,,NULL,arbeiter,Bruneck__Aufhofen ,Bruneck__Aufhofen ,mord
